City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Economy,US,75.25,moderate rain,40.6001,-80.2248,Forest Brook Mobile Home Park
448,Mbaiki,CF,68.65,light rain,3.8678,17.9892,Motel MBM
449,Sao Francisco,BR,77.11,few clouds,-15.9486,-44.8644,Pousada Peixe Vivo
450,Aksay,RU,77.25,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
451,Waddan,LY,81.37,clear sky,29.1614,16.139,محل الشريف محمد العايب
452,Matoury,GF,85.96,scattered clouds,4.8483,-52.3317,Hôtel La Marmotte
453,Changping,CN,73.04,broken clouds,40.2186,116.2197,Huachang Hotel
454,Kedougou,SN,81.79,broken clouds,12.5579,-12.1743,Relais de Kédougou
456,Chabahar,IR,87.84,overcast clouds,25.2919,60.643,هتل گدروشیا
457,Misratah,LY,80.24,clear sky,32.3754,15.0925,Almasa Hotel
458,Tura,IN,75.22,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
459,Altamont,US,89.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
461,Lafiagi,NG,74.46,light rain,8.8667,5.4167,Bus group international
462,Ginda,IN,67.44,scattered clouds,30.6945,78.4932,Sunil Bisht
464,Lompoc,US,83.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
466,Leshukonskoye,RU,60.58,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
467,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
470,Quanzhou,CN,79.74,overcast clouds,24.9139,118.5858,Super 8 Hotel Quanzhou new station shop
471,Marica,BR,84.15,broken clouds,-22.9194,-42.8186,Marica Hills
472,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
473,Brighton,GB,73.81,broken clouds,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
474,Kloulklubed,PW,81.82,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
475,Gimli,CA,86.02,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
476,Owando,CG,79.07,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
477,Briancon,FR,68.34,overcast clouds,44.9,6.65,Auberge de la Paix
479,Sabaudia,IT,83.19,clear sky,41.3003,13.0282,Oasi di Kufra
480,Odweyne,SO,75.0,few clouds,9.4092,45.064,Eng Hiirey House
481,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
483,Valverde Del Camino,ES,74.37,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
484,Taldan,RU,63.0,light rain,53.6667,124.8,
485,Les Cayes,HT,87.33,few clouds,18.2,-73.75,Villa Orphee
486,Arvika,SE,63.21,overcast clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
489,Moerai,PF,72.52,broken clouds,-22.4333,-151.3333,Le Manotel
491,Katsuura,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
492,Gashua,NG,73.38,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
493,Kavieng,PG,81.88,light rain,-2.5744,150.7967,Nusa Island Retreat
495,Goderich,CA,79.92,overcast clouds,43.7501,-81.7165,Harmony Inn
496,Chicama,PE,61.34,clear sky,-7.8447,-79.1469,Balihai Bungalows
497,Kamiiso,JP,66.61,scattered clouds,41.8167,140.65,Business Inn Abe
498,Campbell River,CA,67.59,broken clouds,50.0163,-125.2446,Anchor Inn & Suites
500,Zorgo,BF,77.0,few clouds,12.2489,-0.6158,Hôtel Pang Ya Wendé
501,Alghero,IT,78.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
