City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Saldanha,ZA,-33.0117,17.9442,55.45,91,0,7.4,clear sky
271,Matara,LK,5.9485,80.5353,78.46,86,100,10.42,overcast clouds
272,Grindavik,IS,63.8424,-22.4338,51.75,87,100,11.5,light intensity drizzle
273,Coos Bay,US,43.3665,-124.2179,76.32,72,0,27.63,clear sky
274,Muzaffargarh,PK,30.0754,71.1921,84.22,68,72,3.06,light rain
275,Escanaba,US,45.7453,-87.0646,80.96,66,0,10.36,clear sky
276,Vuktyl,RU,63.8567,57.3094,58.8,92,53,2.59,broken clouds
277,Guerrero Negro,MX,27.9769,-114.0611,81.23,47,1,13.49,clear sky
278,Mount Gambier,AU,-37.8333,140.7667,46.47,79,100,8.72,overcast clouds
279,Georgetown,MY,5.4112,100.3354,82.89,92,20,2.3,few clouds
280,Sabla,NG,12.7525,4.7077,78.3,77,100,9.73,moderate rain
281,Hambantota,LK,6.1241,81.1185,80.02,79,100,15.95,overcast clouds
282,Manokwari,ID,-0.8667,134.0833,75.74,83,100,2.46,overcast clouds
283,Portland,US,45.5234,-122.6762,76.6,45,75,10.36,broken clouds
284,Beringovskiy,RU,63.05,179.3167,45.34,55,11,27.11,few clouds
285,Lucapa,AO,-8.4192,20.7447,75.36,29,98,1.61,overcast clouds
286,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,83,35,6.38,scattered clouds
287,Cobija,BO,-11.0267,-68.7692,90.09,45,46,2.55,scattered clouds
288,Merauke,ID,-8.4667,140.3333,75.49,89,100,9.57,overcast clouds
289,El Rosario,MX,24.2556,-107.1828,94.26,48,51,11.59,broken clouds
290,Yulara,AU,-25.2406,130.9889,47.46,51,74,9.35,broken clouds
291,Casimiro Castillo,MX,19.6,-104.4333,85.03,75,99,4.92,overcast clouds
292,Taoudenni,ML,22.6783,-3.9836,104.4,10,55,12.75,broken clouds
293,Magadan,RU,59.5667,150.8,56.53,94,100,3.42,overcast clouds
294,Axim,GH,4.8699,-2.2405,74.79,80,43,8.75,scattered clouds
295,Kieta,PG,-6.2167,155.6333,79.34,86,69,5.7,light rain
296,Castro,BR,-24.7911,-50.0119,64.31,81,100,3.4,overcast clouds
297,Kahului,US,20.8947,-156.47,87.82,65,20,24.0,few clouds
298,Saint-Leu,RE,-21.15,55.2833,69.31,69,40,10.4,scattered clouds
299,Fortuna,US,40.5982,-124.1573,67.93,78,8,7.0,clear sky
300,Dickinson,US,29.4608,-95.0513,100.15,58,40,5.75,scattered clouds
301,Kalaleh,IR,37.3807,55.4916,84.56,65,0,0.36,clear sky
302,Husavik,IS,66.0449,-17.3389,46.58,92,100,7.74,overcast clouds
303,Nishihara,JP,26.1842,127.7558,83.86,91,75,17.27,drizzle
304,San Andres,CO,12.5847,-81.7006,86.02,79,75,13.8,broken clouds
305,Singaraja,ID,-8.112,115.0882,76.82,82,4,4.0,clear sky
306,Wuan,CN,31.6836,112.0044,80.04,81,18,1.3,few clouds
